x,y,z
0.184390371,0.688595417,2.639386833
0.951267791,0.584555035,4.23279266
0.87052839,0.089531898,12.63420176
0.652197858,0.598540239,3.630956252
0.240992719,0.361550318,3.316393073
0.886290442,0.831341981,3.743985549
0.146157765,0.345094512,3.08444186
0.115649137,0.486355517,2.764736388
0.365618511,0.452314816,3.389846485
0.237137358,0.517212625,2.974088506
0.851467517,0.909165668,3.667249568
0.492260354,0.468649181,3.632400706
0.561766436,0.038415701,17.58497124
0.420982557,0.461777757,3.49133213
0.761801293,0.788700513,3.55094105
0.297838123,0.448975518,3.241352785
0.761485431,0.742394648,3.594897999
0.018511822,0.402809589,2.644357065
0.033269292,0.685642641,2.373603657
0.021774355,0.819267326,2.219284042
0.997252214,0.33275305,5.700963579
0.223809231,0.967257182,2.466665033
0.263773034,0.897575421,2.58703806
0.944001401,0.167205781,8.482953325
0.88970956,0.157948472,8.478467606
0.755356104,0.441131759,4.336024326
0.968881418,0.397932154,5.097910012
0.872565912,0.174886736,7.819100715
0.739133659,0.713944624,3.590314751
0.893746118,0.475502225,4.500169828
0.380830736,0.926802778,2.787280696
0.660739543,0.254676991,5.350659222
0.480895592,0.00477766,103.6502593
0.057697775,0.813183685,2.288795204
0.100039504,0.295563128,3.045490714
0.785594151,0.963866395,3.554653403
0.834432595,0.488635255,4.3163968
0.385690028,0.368290897,3.698218886
0.199912001,0.046620466,7.241473623
0.305455307,0.503289921,3.14256785
0.13639476,0.654453534,2.592189243
0.022730588,0.956367037,2.08728372
0.858239404,0.888908372,3.679398395
0.951865601,0.082915385,14.39759083
0.616166077,0.578954281,3.604892176
0.266187495,0.263131253,3.753333231
0.70052373,0.761463298,3.467799925
0.102552181,0.461132521,2.771315401
0.517823155,0.718875267,3.193820901
0.988594146,0.438859721,4.897342353
0.369653842,0.015877104,26.26632037
0.831958469,0.236890581,6.286163883
0.258348758,0.596546622,2.891372572
0.104018522,0.837005037,2.348264723
0.697716571,0.098532874,9.98318826
0.379227611,0.50435453,3.296205077
0.587490533,0.372228512,4.236376697
0.80087627,0.215646938,6.506215486
0.95684782,0.084560802,14.23151856
0.275046382,0.699682354,2.787631968
0.747035025,0.957562093,3.47848685
0.112449127,0.035013243,6.176608564
0.059551536,0.416050389,2.731373754
0.177979369,0.427336067,3.003038887
0.762380464,0.185342267,6.932877049
0.14990348,0.968000136,2.322827204
